Dataset,Experiment,Seed,N,Do,MMD,RF Acc
simpson-non-linear,4,45,50,x2=0.0,0.01776,0.625
simpson-non-linear,5,46,50,x2=0.0,0.02518,0.575
simpson-non-linear,6,47,50,x2=0.0,0.0159,0.6
simpson-non-linear,7,48,50,x2=0.0,0.01358,0.575
simpson-non-linear,8,49,50,x2=0.0,0.00685,0.55
simpson-non-linear,9,50,50,x2=0.0,0.01101,0.525
simpson-non-linear,10,51,50,x2=0.0,0.02899,0.525
simpson-non-linear,1,42,100,x2=0.0,0.01409,0.55
simpson-non-linear,2,43,100,x2=0.0,0.01126,0.55
simpson-non-linear,3,44,100,x2=0.0,0.01277,0.55
simpson-non-linear,4,45,100,x2=0.0,0.00723,0.525
simpson-non-linear,5,46,100,x2=0.0,0.01313,0.5
simpson-non-linear,6,47,100,x2=0.0,0.01207,0.5
simpson-non-linear,7,48,100,x2=0.0,0.00606,0.575
simpson-non-linear,8,49,100,x2=0.0,0.02232,0.55
simpson-non-linear,9,50,100,x2=0.0,0.01329,0.525
simpson-non-linear,10,51,100,x2=0.0,0.00904,0.575
simpson-symprod,1,42,50,x2=0.0,0.02843,0.825
simpson-symprod,2,43,50,x2=0.0,0.06219,0.725
simpson-symprod,3,44,50,x2=0.0,0.04657,0.7
simpson-symprod,4,45,50,x2=0.0,0.06102,0.625
simpson-symprod,5,46,50,x2=0.0,0.03423,0.675
simpson-symprod,6,47,50,x2=0.0,0.02253,0.7
simpson-symprod,7,48,50,x2=0.0,0.07166,0.675
simpson-symprod,8,49,50,x2=0.0,0.05383,0.675
simpson-symprod,9,50,50,x2=0.0,0.02543,0.8
simpson-symprod,10,51,50,x2=0.0,0.03932,0.725
simpson-symprod,1,42,100,x2=0.0,0.04102,0.65
simpson-symprod,2,43,100,x2=0.0,0.01469,0.65
simpson-symprod,3,44,100,x2=0.0,0.04451,0.7
simpson-symprod,4,45,100,x2=0.0,0.01939,0.575
simpson-symprod,5,46,100,x2=0.0,0.02626,0.625
simpson-symprod,6,47,100,x2=0.0,0.04125,0.675
simpson-symprod,7,48,100,x2=0.0,0.02814,0.7
simpson-symprod,8,49,100,x2=0.0,0.03345,0.65
simpson-symprod,9,50,100,x2=0.0,0.0536,0.6
simpson-symprod,10,51,100,x2=0.0,0.06466,0.7
triangle-linear,1,42,50,x2=0.0,0.01084,0.675
triangle-linear,2,43,50,x2=0.0,0.02242,0.575
triangle-linear,3,44,50,x2=0.0,0.02148,0.625
triangle-linear,4,45,50,x2=0.0,0.01055,0.7
triangle-linear,5,46,50,x2=0.0,0.00737,0.575
triangle-linear,6,47,50,x2=0.0,0.0203,0.6
triangle-linear,7,48,50,x2=0.0,0.02438,0.65
triangle-linear,8,49,50,x2=0.0,0.02397,0.775
triangle-linear,9,50,50,x2=0.0,0.02242,0.575
triangle-linear,10,51,50,x2=0.0,0.01002,0.625
triangle-linear,1,42,100,x2=0.0,0.03033,0.725
triangle-linear,2,43,100,x2=0.0,0.00904,0.725
triangle-linear,3,44,100,x2=0.0,0.04636,0.7
triangle-linear,4,45,100,x2=0.0,0.02513,0.75
triangle-linear,5,46,100,x2=0.0,0.00985,0.625
triangle-linear,6,47,100,x2=0.0,0.02271,0.75
triangle-linear,7,48,100,x2=0.0,0.0215,0.75
triangle-linear,8,49,100,x2=0.0,0.02944,0.7
triangle-linear,9,50,100,x2=0.0,0.03101,0.75
triangle-linear,10,51,100,x2=0.0,0.02219,0.625
triangle-non-linear,1,42,50,x2=0.0,0.00969,0.625
triangle-non-linear,2,43,50,x2=0.0,0.043,0.65
triangle-non-linear,3,44,50,x2=0.0,0.06445,0.625
triangle-non-linear,4,45,50,x2=0.0,0.01095,0.625
triangle-non-linear,5,46,50,x2=0.0,0.02082,0.55
triangle-non-linear,6,47,50,x2=0.0,0.03235,0.725
triangle-non-linear,7,48,50,x2=0.0,0.01716,0.6
triangle-non-linear,8,49,50,x2=0.0,0.02168,0.575
triangle-non-linear,9,50,50,x2=0.0,0.04351,0.725
triangle-non-linear,10,51,50,x2=0.0,0.0099,0.575
triangle-non-linear,1,42,100,x2=0.0,0.00477,0.575
triangle-non-linear,2,43,100,x2=0.0,0.02379,0.55
triangle-non-linear,3,44,100,x2=0.0,0.01034,0.55
triangle-non-linear,4,45,100,x2=0.0,0.00899,0.55
triangle-non-linear,5,46,100,x2=0.0,0.00848,0.7
triangle-non-linear,6,47,100,x2=0.0,0.02958,0.825
triangle-non-linear,7,48,100,x2=0.0,0.01112,0.575
triangle-non-linear,8,49,100,x2=0.0,0.03757,0.7
triangle-non-linear,9,50,100,x2=0.0,0.03933,0.625
triangle-non-linear,10,51,100,x2=0.0,0.014,0.6
