Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
fork-non-linear,50,0.7,0.3,hybrid,10,0.8325,0.0646,0.16343,0.05079,0.69853,0.1671
fork-non-linear,50,0.8,0.2,hybrid,10,0.85,0.05893,0.17681,0.0507,0.71581,0.17934
fork-non-linear,100,0.0,1.0,mse,10,0.7975,0.09679,0.09886,0.05889,0.44983,0.1695
fork-non-linear,100,0.1,0.9,hybrid,10,0.7825,0.08901,0.09184,0.06161,0.43677,0.17819
fork-non-linear,100,0.2,0.8,hybrid,10,0.7475,0.12386,0.0888,0.06291,0.42791,0.19857
fork-non-linear,100,0.3,0.7,hybrid,10,0.7525,0.10894,0.09103,0.06401,0.43558,0.19096
fork-non-linear,100,0.4,0.6,hybrid,10,0.7575,0.11847,0.10345,0.06726,0.4617,0.20841
fork-non-linear,100,0.5,0.5,hybrid,10,0.765,0.11856,0.10617,0.06788,0.47164,0.20971
fork-non-linear,100,0.6,0.4,hybrid,10,0.765,0.11316,0.10197,0.06661,0.45326,0.22122
fork-non-linear,100,0.7,0.3,hybrid,10,0.8,0.1,0.09926,0.06384,0.42525,0.21111
fork-non-linear,100,0.8,0.2,hybrid,10,0.78,0.11655,0.09967,0.05794,0.45607,0.18053
simpson-non-linear,50,0.0,1.0,mse,10,0.67,0.04048,0.04442,0.01042,0.97927,0.14764
simpson-non-linear,50,0.1,0.9,hybrid,10,0.6675,0.0578,0.04435,0.01046,1.15558,0.68109
simpson-non-linear,50,0.2,0.8,hybrid,10,0.66,0.04282,0.04472,0.00785,1.17834,0.68249
simpson-non-linear,50,0.3,0.7,hybrid,10,0.6525,0.02993,0.04333,0.01017,1.18465,0.66299
simpson-non-linear,50,0.4,0.6,hybrid,10,0.645,0.03291,0.04459,0.00982,0.98633,0.23716
simpson-non-linear,50,0.5,0.5,hybrid,10,0.63,0.04216,0.04613,0.00946,0.89394,0.15803
simpson-non-linear,50,0.6,0.4,hybrid,10,0.63,0.05986,0.04131,0.01114,0.88516,0.14202
simpson-non-linear,50,0.7,0.3,hybrid,10,0.6575,0.03918,0.04136,0.0092,0.89865,0.15341
simpson-non-linear,50,0.8,0.2,hybrid,10,0.625,0.02887,0.04217,0.00778,0.90434,0.16352
simpson-non-linear,100,0.0,1.0,mse,10,0.615,0.07091,0.03179,0.01672,0.73787,0.20879
simpson-non-linear,100,0.1,0.9,hybrid,10,0.61,0.07656,0.02993,0.0158,0.68128,0.16838
simpson-non-linear,100,0.2,0.8,hybrid,10,0.59,0.0835,0.02956,0.01555,1.04498,1.21212
simpson-non-linear,100,0.3,0.7,hybrid,10,0.595,0.05244,0.0265,0.01254,0.66726,0.1529
simpson-non-linear,100,0.4,0.6,hybrid,10,0.5725,0.06175,0.03025,0.0115,0.71299,0.12274
simpson-non-linear,100,0.5,0.5,hybrid,10,0.5775,0.05584,0.0319,0.01097,0.73509,0.14876
simpson-non-linear,100,0.6,0.4,hybrid,10,0.5975,0.03426,0.03356,0.01201,0.98123,0.45795
simpson-non-linear,100,0.7,0.3,hybrid,10,0.5825,0.04866,0.02651,0.01035,0.72967,0.14258
simpson-non-linear,100,0.8,0.2,hybrid,10,0.5925,0.03736,0.02692,0.007,0.66062,0.10246
simpson-symprod,50,0.0,1.0,mse,10,0.655,0.07619,0.05418,0.01933,0.7889,0.11327
simpson-symprod,50,0.1,0.9,hybrid,10,0.6875,0.0784,0.05502,0.01859,0.78105,0.11337
simpson-symprod,50,0.2,0.8,hybrid,10,0.6825,0.06775,0.05442,0.01951,0.74491,0.08802
simpson-symprod,50,0.3,0.7,hybrid,10,0.675,0.08165,0.05558,0.01956,0.77798,0.09406
simpson-symprod,50,0.4,0.6,hybrid,10,0.67,0.0654,0.05648,0.01786,0.74265,0.05853
simpson-symprod,50,0.5,0.5,hybrid,10,0.6875,0.06038,0.05785,0.0181,0.74973,0.05812
