Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,Do,RF Acc,MMD,MAE x3
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.55,0.01748,0.76563
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.625,0.02617,0.77175
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.5,0.02272,0.77195
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.6,0.02645,0.7754
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.55,0.02233,0.7665
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,x2=0.0,0.525,0.0158,0.77166
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.525,0.02833,0.77165
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.55,0.01582,0.7655
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.55,0.01931,0.80595
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.525,0.02915,0.76906
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.55,0.01738,0.76849
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.625,0.02617,0.77175
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.525,0.02272,0.77195
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.6,0.02644,0.77426
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.55,0.02231,0.76552
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,x2=0.0,0.525,0.0158,0.77166
3-chain-linear,1,42,mse,MSE,1.0,0.0,100,x2=0.0,0.525,0.02184,0.77342
3-chain-linear,2,43,mse,MSE,1.0,0.0,100,x2=0.0,0.575,0.02205,0.78747
3-chain-linear,3,44,mse,MSE,1.0,0.0,100,x2=0.0,0.55,0.01579,0.77338
3-chain-linear,4,45,mse,MSE,1.0,0.0,100,x2=0.0,0.55,0.01488,0.76683
3-chain-linear,5,46,mse,MSE,1.0,0.0,100,x2=0.0,0.55,0.02093,0.79011
3-chain-linear,6,47,mse,MSE,1.0,0.0,100,x2=0.0,0.575,0.04567,0.8621
3-chain-linear,7,48,mse,MSE,1.0,0.0,100,x2=0.0,0.55,0.02298,0.77299
3-chain-linear,8,49,mse,MSE,1.0,0.0,100,x2=0.0,0.625,0.0216,0.77072
3-chain-linear,9,50,mse,MSE,1.0,0.0,100,x2=0.0,0.55,0.02409,0.79642
3-chain-linear,10,51,mse,MSE,1.0,0.0,100,x2=0.0,0.6,0.01996,0.76703
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,x2=0.0,0.525,0.02184,0.77342
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,x2=0.0,0.625,0.02129,0.78353
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,x2=0.0,0.55,0.01578,0.7733
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,x2=0.0,0.6,0.01746,0.77228
