Dataset,Experiment,Seed,N,Do,MMD,RF Acc
triangle-non-linear,9,50,50,x2=0.0,0.06547,0.675
triangle-non-linear,10,51,50,x2=0.0,0.03076,0.725
triangle-non-linear,1,42,100,x2=0.0,0.01682,0.575
triangle-non-linear,2,43,100,x2=0.0,0.00922,0.6
triangle-non-linear,3,44,100,x2=0.0,0.00854,0.525
triangle-non-linear,4,45,100,x2=0.0,0.02673,0.85
triangle-non-linear,5,46,100,x2=0.0,0.02723,0.55
triangle-non-linear,6,47,100,x2=0.0,0.03351,0.775
triangle-non-linear,7,48,100,x2=0.0,0.01514,0.6
triangle-non-linear,8,49,100,x2=0.0,0.02075,0.8
triangle-non-linear,9,50,100,x2=0.0,0.0394,0.6
triangle-non-linear,10,51,100,x2=0.0,0.02358,0.85
