Dataset,Experiment,Seed,N,Do,MMD,RF Acc
fork-non-linear,3,44,100,x2=0.0,0.02787,0.675
fork-non-linear,4,45,100,x2=0.0,0.03048,0.675
fork-non-linear,5,46,100,x2=0.0,0.05836,0.7
fork-non-linear,6,47,100,x2=0.0,0.04567,1.0
fork-non-linear,7,48,100,x2=0.0,0.17277,1.0
fork-non-linear,8,49,100,x2=0.0,0.10203,0.875
fork-non-linear,9,50,100,x2=0.0,0.05181,0.775
fork-non-linear,10,51,100,x2=0.0,0.05076,0.65
simpson-non-linear,1,42,50,x2=0.0,0.0279,0.625
simpson-non-linear,2,43,50,x2=0.0,0.01958,0.575
simpson-non-linear,3,44,50,x2=0.0,0.0262,0.775
simpson-non-linear,4,45,50,x2=0.0,0.03126,0.625
simpson-non-linear,5,46,50,x2=0.0,0.01498,0.75
simpson-non-linear,6,47,50,x2=0.0,0.02581,0.575
simpson-non-linear,7,48,50,x2=0.0,0.01826,0.625
simpson-non-linear,8,49,50,x2=0.0,0.04933,0.75
simpson-non-linear,9,50,50,x2=0.0,0.01659,0.65
simpson-non-linear,10,51,50,x2=0.0,0.01836,0.6
simpson-non-linear,1,42,100,x2=0.0,0.022,0.675
simpson-non-linear,2,43,100,x2=0.0,0.01107,0.5
simpson-non-linear,3,44,100,x2=0.0,0.01983,0.5
simpson-non-linear,4,45,100,x2=0.0,0.0095,0.675
simpson-non-linear,5,46,100,x2=0.0,0.01401,0.625
simpson-non-linear,6,47,100,x2=0.0,0.02895,0.65
simpson-non-linear,7,48,100,x2=0.0,0.01751,0.725
simpson-non-linear,8,49,100,x2=0.0,0.0186,0.7
simpson-non-linear,9,50,100,x2=0.0,0.02081,0.675
simpson-non-linear,10,51,100,x2=0.0,0.02163,0.625
simpson-symprod,1,42,50,x2=0.0,0.04186,0.75
simpson-symprod,2,43,50,x2=0.0,0.06005,0.725
simpson-symprod,3,44,50,x2=0.0,0.09634,0.825
simpson-symprod,4,45,50,x2=0.0,0.04167,0.675
simpson-symprod,5,46,50,x2=0.0,0.04505,0.85
simpson-symprod,6,47,50,x2=0.0,0.04545,0.875
simpson-symprod,7,48,50,x2=0.0,0.16343,0.95
simpson-symprod,8,49,50,x2=0.0,0.08474,0.675
simpson-symprod,9,50,50,x2=0.0,0.0534,0.7
simpson-symprod,10,51,50,x2=0.0,0.06117,0.75
simpson-symprod,1,42,100,x2=0.0,0.02204,0.625
simpson-symprod,2,43,100,x2=0.0,0.03765,0.6
simpson-symprod,3,44,100,x2=0.0,0.08013,0.75
simpson-symprod,4,45,100,x2=0.0,0.04057,0.7
simpson-symprod,5,46,100,x2=0.0,0.06034,0.75
simpson-symprod,6,47,100,x2=0.0,0.05427,0.875
simpson-symprod,7,48,100,x2=0.0,0.08416,0.875
simpson-symprod,8,49,100,x2=0.0,0.06705,0.875
simpson-symprod,9,50,100,x2=0.0,0.03289,0.675
simpson-symprod,10,51,100,x2=0.0,0.03891,0.7
triangle-linear,1,42,50,x2=0.0,0.04066,0.6
triangle-linear,2,43,50,x2=0.0,0.0301,0.75
triangle-linear,3,44,50,x2=0.0,0.03585,0.725
triangle-linear,4,45,50,x2=0.0,0.06561,0.8
triangle-linear,5,46,50,x2=0.0,0.02998,0.7
triangle-linear,6,47,50,x2=0.0,0.04117,0.775
triangle-linear,7,48,50,x2=0.0,0.04437,0.825
triangle-linear,8,49,50,x2=0.0,0.06629,0.9
triangle-linear,9,50,50,x2=0.0,0.04662,0.75
triangle-linear,10,51,50,x2=0.0,0.04868,0.825
triangle-linear,1,42,100,x2=0.0,0.02453,0.575
triangle-linear,2,43,100,x2=0.0,0.01644,0.7
triangle-linear,3,44,100,x2=0.0,0.03198,0.725
triangle-linear,4,45,100,x2=0.0,0.01088,0.675
triangle-linear,5,46,100,x2=0.0,0.03246,0.675
triangle-linear,6,47,100,x2=0.0,0.05429,0.775
triangle-linear,7,48,100,x2=0.0,0.04772,0.8
triangle-linear,8,49,100,x2=0.0,0.02034,0.775
triangle-linear,9,50,100,x2=0.0,0.04778,0.85
triangle-linear,10,51,100,x2=0.0,0.03,0.75
triangle-non-linear,1,42,50,x2=0.0,0.05954,0.65
triangle-non-linear,2,43,50,x2=0.0,0.03029,0.65
triangle-non-linear,3,44,50,x2=0.0,0.03213,0.625
triangle-non-linear,4,45,50,x2=0.0,0.09223,0.875
triangle-non-linear,5,46,50,x2=0.0,0.06112,0.8
triangle-non-linear,6,47,50,x2=0.0,0.04348,0.85
triangle-non-linear,7,48,50,x2=0.0,0.04722,0.775
triangle-non-linear,8,49,50,x2=0.0,0.04429,0.7
triangle-non-linear,9,50,50,x2=0.0,0.09234,0.775
triangle-non-linear,10,51,50,x2=0.0,0.02225,0.675
triangle-non-linear,1,42,100,x2=0.0,0.01883,0.625
triangle-non-linear,2,43,100,x2=0.0,0.0217,0.625
triangle-non-linear,3,44,100,x2=0.0,0.01953,0.65
triangle-non-linear,4,45,100,x2=0.0,0.01455,0.625
triangle-non-linear,5,46,100,x2=0.0,0.02262,0.7
triangle-non-linear,6,47,100,x2=0.0,0.03945,0.775
triangle-non-linear,7,48,100,x2=0.0,0.02119,0.65
triangle-non-linear,8,49,100,x2=0.0,0.02956,0.6
triangle-non-linear,9,50,100,x2=0.0,0.01528,0.5
triangle-non-linear,10,51,100,x2=0.0,0.02814,0.675
