Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.13274,0.85193,0.04262,1.40276,0.84522,0.02545,0.02607,0.00229,0.01921,0.61667
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.11211,0.86628,0.01109,4.58825,1.64066,0.07067,0.13055,0.00239,0.00952,0.65
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.09472,0.85708,0.00677,1.21498,0.87167,0.01466,0.00944,0.00159,0.00767,0.53
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.08669,0.8536,0.00754,1.19757,0.8659,0.01558,0.00987,0.00149,0.00846,0.51
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.06654,0.84567,0.00672,1.19515,0.85722,0.02184,0.01064,0.00117,0.00842,0.52
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.04171,0.83278,0.00617,1.25522,0.8768,0.03137,0.01468,0.00095,0.00788,0.52
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.04393,0.83192,0.00748,1.2667,0.8792,0.03295,0.01397,0.00094,0.00836,0.54
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.03848,0.8307,0.00778,1.26233,0.87612,0.0347,0.01323,0.00095,0.00849,0.51
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.04923,0.83825,0.00804,1.24965,0.87158,0.03698,0.01227,0.00095,0.0088,0.53
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0579,0.83646,0.00991,1.10019,0.83725,0.02071,0.01693,0.00109,0.00729,0.52
2,43,mse,MSE,1.0,0.0,100,0.95112,0.75756,0.06601,1.59014,0.98734,0.0793,0.07831,0.00277,0.02287,0.6
2,43,mse,MSE,1.0,0.0,300,1.14025,0.85352,0.0462,1.41916,0.83694,0.02838,0.02084,0.00224,0.02045,0.58333
2,43,mse,MSE,1.0,0.0,500,1.06109,0.83769,0.01305,1.12947,0.83412,0.03056,0.01269,0.00105,0.00945,0.52
3,44,hsic,HSIC,0.0,1.0,100,4.70708,1.72187,0.14572,5.69441,1.98159,0.20843,0.33503,0.00604,0.07519,0.85
3,44,hsic,HSIC,0.0,1.0,300,3.04342,1.35874,0.05699,16.80879,3.0828,0.45211,0.62162,0.00786,0.05675,0.73333
3,44,hsic,HSIC,0.0,1.0,500,3.00798,1.299,0.12082,12.85645,2.58441,0.33864,0.55989,0.00493,0.05761,0.74
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.21595,0.88741,0.06425,5.36569,1.93196,0.2035,0.32483,0.00601,0.06833,0.8
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.23269,0.90082,0.07022,1.92304,1.18235,0.05464,0.07748,0.00366,0.05359,0.5
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.41267,0.96994,0.07217,1.86638,1.16164,0.05545,0.08573,0.00382,0.05966,0.6
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.50668,1.01647,0.09518,1.56492,1.02959,0.05741,0.06737,0.00309,0.07338,0.75
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.55335,1.03193,0.10121,1.28023,0.88942,0.04057,0.06129,0.00285,0.07927,0.7
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.49801,1.00299,0.11928,1.23084,0.86303,0.04028,0.06018,0.00278,0.07104,0.6
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.57054,1.03877,0.10876,1.20637,0.84475,0.0494,0.05466,0.00295,0.0757,0.75
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.55442,1.02715,0.11165,1.202,0.83923,0.05614,0.05068,0.00298,0.07246,0.65
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.56437,1.01899,0.12778,1.22947,0.85425,0.06322,0.05185,0.00302,0.06652,0.7
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.10631,0.84961,0.0259,6.99348,2.03559,0.10106,0.1429,0.00295,0.02954,0.6
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.22124,0.88296,0.03318,6.94564,1.93841,0.11872,0.12344,0.00319,0.03619,0.53333
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.16479,0.86431,0.03188,1.24804,0.86774,0.01732,0.02447,0.0006,0.02802,0.53333
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.17823,0.86799,0.03269,1.21509,0.86119,0.01747,0.02527,0.00064,0.02776,0.51667
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.17214,0.87013,0.0349,1.1983,0.8555,0.01784,0.02653,0.00056,0.02855,0.51667
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.19805,0.87822,0.04071,1.18559,0.8507,0.0183,0.02714,0.00054,0.02983,0.53333
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.17937,0.87233,0.04053,1.17723,0.84703,0.01924,0.02744,0.00055,0.02934,0.51667
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.076,0.83559,0.02915,1.17524,0.84508,0.02091,0.02686,0.00064,0.02462,0.5
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.09113,0.83944,0.03185,1.18072,0.85018,0.0238,0.02669,0.0007,0.02602,0.51667
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.36838,0.88378,0.07081,3.46721,1.48678,0.07736,0.11785,0.00446,0.01209,0.59
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.23014,0.84876,0.05307,3.66977,1.52221,0.07815,0.12445,0.00443,0.01136,0.59
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.19136,0.83232,0.03618,3.56307,1.50767,0.07748,0.12282,0.00364,0.00982,0.62
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.31966,0.88148,0.07563,1.05044,0.81724,0.00535,0.01225,0.00081,0.00427,0.53
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.45618,0.91652,0.08485,1.04127,0.81392,0.00463,0.01146,0.00079,0.0052,0.56
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.16126,0.83044,0.03494,1.04483,0.81607,0.00454,0.01082,0.00075,0.00176,0.55
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.17272,0.83418,0.03826,1.0554,0.82265,0.00405,0.00985,0.00078,0.0018,0.59
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.18342,0.83439,0.03066,1.05487,0.81966,0.00475,0.00788,0.00096,0.00137,0.57
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.18533,0.83915,0.04118,1.05589,0.81748,0.00709,0.00624,0.00082,0.00169,0.55
3,44,mse,MSE,1.0,0.0,100,1.54956,1.01072,0.12608,5.47368,1.93898,0.21443,0.323,0.00705,0.06473,0.8
3,44,mse,MSE,1.0,0.0,300,1.08906,0.83908,0.0322,1.20746,0.86112,0.04363,0.01776,0.00067,0.02753,0.56667
3,44,mse,MSE,1.0,0.0,500,1.19694,0.84488,0.04597,1.09714,0.82722,0.01355,0.00683,0.00103,0.00226,0.56
4,45,hsic,HSIC,0.0,1.0,100,3.90121,1.67068,0.45865,10.97247,2.41114,0.19707,0.50545,0.00559,0.08587,0.85
