Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.0,1.68568,0.98005,0.03869,0.56503,0.61126,0.02751,,0.00531,0.02822,0.575
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.0,1.58737,0.96275,0.03177,0.56768,0.61424,0.03264,,0.00505,0.02508,0.625
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.0,1.57812,0.96283,0.03083,0.57013,0.60494,0.00904,,0.00295,0.02735,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.0,1.56437,0.96126,0.02993,0.56655,0.60217,0.00912,,0.00312,0.0274,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.0,1.54948,0.96518,0.03024,0.57096,0.60278,0.00989,,0.00285,0.02705,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.0,1.51935,0.96044,0.0271,0.57606,0.60578,0.01163,,0.00263,0.02683,0.7
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.0,1.51041,0.95866,0.02833,1.33476,0.98577,0.19636,,0.01375,0.10083,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.0,1.50614,0.95794,0.03052,1.53533,1.06666,0.21896,,0.01479,0.11048,0.8
1,42,mse,MSE,1.0,0.0,50,1.0,2.71285,1.12436,0.11704,1.09027,0.87248,0.16913,,0.01079,0.11321,0.725
1,42,mse,MSE,1.0,0.0,50,0.0,2.71285,1.12436,0.11704,0.86725,0.76541,0.06749,,0.00209,0.1159,0.75
1,42,mse,MSE,1.0,0.0,100,1.0,2.64579,1.11968,0.08044,0.58175,0.61461,0.02639,,0.00243,0.02857,0.65
1,42,mse,MSE,1.0,0.0,100,0.0,2.64579,1.11968,0.08044,0.63353,0.64467,0.03686,,0.00346,0.03449,0.7
1,42,mse,MSE,1.0,0.0,300,1.0,1.68889,0.94119,0.0365,1.02276,0.84489,0.1505,,0.01056,0.0954,0.7
1,42,mse,MSE,1.0,0.0,300,0.0,1.68889,0.94119,0.0365,0.9617,0.7926,0.22911,,0.01333,0.07652,0.725
1,42,mse,MSE,1.0,0.0,500,1.0,1.4958,0.95857,0.03097,0.94968,0.81014,0.12583,,0.01017,0.05372,0.7
1,42,mse,MSE,1.0,0.0,500,0.0,1.4958,0.95857,0.03097,1.67856,1.1194,0.23292,,0.01548,0.11979,0.825
2,43,hsic,HSIC,0.0,1.0,50,1.0,5.58966,1.75006,0.11682,4.94283,1.38959,0.37579,,0.00602,0.20887,0.825
2,43,hsic,HSIC,0.0,1.0,50,0.0,5.58966,1.75006,0.11682,10.65498,2.13778,0.39677,,0.00437,0.25235,0.85
2,43,hsic,HSIC,0.0,1.0,100,1.0,3.56803,1.31334,0.05348,1.33125,0.93645,0.37562,,0.01568,0.24489,0.9
2,43,hsic,HSIC,0.0,1.0,100,0.0,3.56803,1.31334,0.05348,2.58383,1.39192,0.37767,,0.01573,0.27858,0.85
2,43,hsic,HSIC,0.0,1.0,300,1.0,2.49846,1.04994,0.05862,0.84033,0.69113,0.12901,,0.00676,0.28213,0.875
2,43,hsic,HSIC,0.0,1.0,300,0.0,2.49846,1.04994,0.05862,1.48472,0.98966,0.05308,,0.00634,0.25449,0.9
2,43,hsic,HSIC,0.0,1.0,500,1.0,2.47371,1.04686,0.03933,1.37361,0.92562,0.10473,,0.01489,0.21291,0.9
2,43,hsic,HSIC,0.0,1.0,500,0.0,2.47371,1.04686,0.03933,1.28141,0.88265,0.13151,,0.01892,0.21823,0.875
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,2.03353,1.07173,0.05758,1.79001,1.00219,0.19575,,0.01068,0.05231,0.675
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,1.92141,1.04988,0.05198,1.2098,0.93084,0.12853,,0.01034,0.05832,0.7
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,1.76371,1.03333,0.04286,1.12664,0.8925,0.12793,,0.0104,0.05779,0.7
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,1.75165,1.02832,0.04223,1.07372,0.86861,0.12782,,0.01043,0.05722,0.675
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,1.7788,1.03256,0.04247,1.05115,0.85711,0.12727,,0.01025,0.05678,0.7
