Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.0,0.90652,0.81408,0.01367,1.13699,0.89709,0.03966,,0.00569,0.00719,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0,0.90843,0.81495,0.01394,1.13421,0.89717,0.04039,,0.00557,0.00736,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.0,0.90562,0.81235,0.01523,2.29532,1.19591,0.06891,,0.00508,0.02062,0.7
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.0,0.92329,0.82085,0.01798,2.00287,1.12109,0.07188,,0.00528,0.02291,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.0,0.91909,0.81927,0.01671,1.8719,1.09147,0.07626,,0.00545,0.02527,0.675
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.0,0.91482,0.81731,0.0157,1.73431,1.05857,0.07477,,0.00538,0.02392,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.0,0.91193,0.81605,0.0149,1.64256,1.03666,0.07439,,0.0054,0.02311,0.65
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.0,0.90963,0.81517,0.01432,1.6024,1.0267,0.07389,,0.00542,0.02311,0.65
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.0,0.90808,0.81463,0.01395,1.56857,1.01883,0.07618,,0.00553,0.02347,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.0,0.90652,0.81408,0.01367,1.561,1.01709,0.07368,,0.00544,0.02474,0.6
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.0,0.90843,0.81495,0.01394,1.57015,1.01962,0.07518,,0.00547,0.02629,0.625
1,42,mse,MSE,1.0,0.0,50,1.0,1.0256,0.86704,0.04409,1.24708,0.93769,0.06616,,0.00882,0.05357,0.55
1,42,mse,MSE,1.0,0.0,50,0.0,1.0256,0.86704,0.04409,1.32682,0.94849,0.13043,,0.00908,0.03163,0.65
1,42,mse,MSE,1.0,0.0,100,1.0,0.916,0.82061,0.02377,1.12635,0.90014,0.03429,,0.00683,0.00845,0.525
1,42,mse,MSE,1.0,0.0,100,0.0,0.916,0.82061,0.02377,1.43671,0.9902,0.03321,,0.00463,0.02625,0.65
1,42,mse,MSE,1.0,0.0,300,1.0,1.00516,0.85201,0.02286,0.9756,0.85264,0.00813,,0.00241,0.01196,0.6
1,42,mse,MSE,1.0,0.0,300,0.0,1.00516,0.85201,0.02286,0.96464,0.84788,0.01205,,0.00342,0.01067,0.525
1,42,mse,MSE,1.0,0.0,500,1.0,0.90648,0.81429,0.0138,1.13243,0.897,0.04096,,0.00551,0.00746,0.575
1,42,mse,MSE,1.0,0.0,500,0.0,0.90648,0.81429,0.0138,1.56683,1.01889,0.07644,,0.00551,0.02698,0.625
2,43,hsic,HSIC,0.0,1.0,50,1.0,1.3425,0.96282,0.05601,1.49719,1.01675,0.13684,,0.00779,0.08578,0.6
2,43,hsic,HSIC,0.0,1.0,50,0.0,1.3425,0.96282,0.05601,2.65331,1.30104,0.14214,,0.00806,0.15274,0.725
2,43,hsic,HSIC,0.0,1.0,100,1.0,0.95064,0.83005,0.01109,1.45878,1.00693,0.12931,,0.00745,0.09468,0.6
2,43,hsic,HSIC,0.0,1.0,100,0.0,0.95064,0.83005,0.01109,2.6489,1.29798,0.12934,,0.00745,0.18648,0.725
2,43,hsic,HSIC,0.0,1.0,300,1.0,1.39067,0.95586,0.01476,1.47542,1.0103,0.12572,,0.00719,0.10233,0.65
2,43,hsic,HSIC,0.0,1.0,300,0.0,1.39067,0.95586,0.01476,2.63336,1.29455,0.12746,,0.00729,0.18242,0.7
2,43,hsic,HSIC,0.0,1.0,500,1.0,1.09844,0.86977,0.02478,1.49018,1.01332,0.1254,,0.00718,0.09027,0.6
2,43,hsic,HSIC,0.0,1.0,500,0.0,1.09844,0.86977,0.02478,2.64632,1.29789,0.12718,,0.00728,0.16278,0.7
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.0,1.20327,0.91467,0.0466,2.13642,1.19047,0.02918,,0.00573,0.01169,0.525
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.0,1.03418,0.86116,0.04622,1.49002,0.98603,0.01463,,0.00368,0.02113,0.625
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.0,1.0319,0.86461,0.05124,1.63553,1.03877,0.03311,,0.00574,0.00855,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.0,0.97294,0.8463,0.03438,1.52391,1.00425,0.03132,,0.00532,0.00898,0.55
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.0,0.9634,0.84089,0.03247,1.42264,0.97258,0.03037,,0.00495,0.0092,0.575
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.0,1.07778,0.88119,0.0578,1.26024,0.92914,0.01706,,0.00309,0.02028,0.65
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.0,1.05922,0.87544,0.05313,1.29029,0.9384,0.03324,,0.00431,0.00948,0.65
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.0,1.06812,0.87899,0.05925,1.1955,0.91311,0.01474,,0.00284,0.02081,0.7
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.0,1.0597,0.87552,0.05766,1.16422,0.90766,0.01895,,0.00292,0.0167,0.65
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,0.0,1.20327,0.91467,0.0466,1.78158,1.06588,0.05764,,0.00488,0.01063,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.0,1.03418,0.86116,0.04622,1.21964,0.93465,0.06761,,0.00482,0.01656,0.5
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.0,1.0319,0.86461,0.05124,1.53009,1.01043,0.06395,,0.00491,0.01127,0.525
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.0,0.97294,0.8463,0.03438,1.45454,0.99279,0.06747,,0.00495,0.01172,0.575
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.0,0.9634,0.84089,0.03247,1.38693,0.97669,0.06831,,0.00491,0.01185,0.625
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.0,1.07778,0.88119,0.0578,1.16644,0.92474,0.05896,,0.00412,0.02403,0.55
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.0,1.05922,0.87544,0.05313,1.36304,0.97531,0.08077,,0.00542,0.01309,0.6
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.0,1.06812,0.87899,0.05925,1.20978,0.93503,0.07254,,0.00479,0.02186,0.525
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.0,1.0597,0.87552,0.05766,1.24665,0.9439,0.0841,,0.00536,0.01968,0.6
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.0,0.96734,0.83076,0.01305,1.35927,0.95205,0.04477,,0.00572,0.00909,0.575
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,1.0,0.94645,0.82831,0.02769,1.2209,0.91696,0.0437,,0.00571,0.00922,0.5
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,1.0,1.00524,0.85299,0.04569,1.19892,0.91437,0.04392,,0.0055,0.00932,0.5
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,1.0,1.02554,0.86075,0.04426,1.14228,0.90052,0.04233,,0.00541,0.00956,0.55
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.0,1.02261,0.85871,0.03441,1.11037,0.8948,0.03846,,0.00526,0.00938,0.55
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,1.0,1.00189,0.85036,0.02596,1.00694,0.87956,0.01575,,0.00376,0.01359,0.625
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.0,1.00069,0.84859,0.01954,1.00416,0.87904,0.01506,,0.00362,0.01347,0.625
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.0,1.01223,0.85247,0.02105,1.00504,0.87973,0.01507,,0.00364,0.01348,0.6
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.0,1.00571,0.84746,0.01781,1.00487,0.88002,0.01476,,0.00358,0.01359,0.6
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.0,0.96734,0.83076,0.01305,2.1564,1.16029,0.08294,,0.00571,0.03507,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.0,0.94645,0.82831,0.02769,1.90179,1.09938,0.08199,,0.00567,0.03438,0.625
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.0,1.00524,0.85299,0.04569,1.85665,1.09016,0.08435,,0.00574,0.03743,0.575
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.0,1.02554,0.86075,0.04426,1.66837,1.04558,0.08341,,0.00569,0.03217,0.65
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.0,1.02261,0.85871,0.03441,1.56044,1.01993,0.08301,,0.00564,0.02979,0.65
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.0,1.00189,0.85036,0.02596,1.11609,0.89901,0.02753,,0.00339,0.0172,0.65
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.0,1.00069,0.84859,0.01954,1.09783,0.89625,0.02704,,0.00333,0.01663,0.6
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.0,1.01223,0.85247,0.02105,1.07949,0.89329,0.02622,,0.00333,0.01587,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.0,1.00571,0.84746,0.01781,1.06974,0.89151,0.02531,,0.00328,0.01561,0.55
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.0,0.90178,0.80632,0.01244,1.54771,1.00429,0.04856,,0.00561,0.00871,0.625
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,1.0,0.90039,0.80351,0.01145,1.43466,0.9727,0.049,,0.00576,0.00871,0.6
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.0,0.90336,0.80473,0.01098,1.41122,0.96708,0.04879,,0.00569,0.00885,0.575
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,0.90728,0.806,0.01072,1.09305,0.86818,0.02209,,0.00507,0.01137,0.65
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,0.90999,0.80692,0.01067,1.10098,0.8687,0.02325,,0.00521,0.01254,0.6
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,0.9121,0.8078,0.01072,1.09556,0.86707,0.02295,,0.00516,0.01259,0.6
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,0.91359,0.80832,0.01075,1.24461,0.92224,0.03701,,0.00516,0.01016,0.55
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,0.91536,0.80885,0.01079,1.08795,0.86523,0.02303,,0.00515,0.01273,0.725
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,0.91674,0.8092,0.0108,1.01156,0.84819,0.02544,,0.00546,0.00915,0.6
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,0.90178,0.80632,0.01244,2.30849,1.19767,0.08299,,0.00564,0.03131,0.575
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,0.90039,0.80351,0.01145,2.15137,1.15984,0.08274,,0.00568,0.03267,0.6
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,0.90336,0.80473,0.01098,2.07832,1.1425,0.08345,,0.00568,0.03246,0.575
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,0.90728,0.806,0.01072,1.06668,0.88188,0.02741,,0.00493,0.01056,0.525
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,0.90999,0.80692,0.01067,1.03771,0.86634,0.03017,,0.00592,0.01001,0.525
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,0.9121,0.8078,0.01072,1.03901,0.86583,0.03053,,0.00596,0.00992,0.55
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,0.91359,0.80832,0.01075,1.63178,1.03534,0.07178,,0.00525,0.02841,0.575
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,0.91536,0.80885,0.01079,1.06476,0.87365,0.03468,,0.00631,0.01026,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,0.91674,0.8092,0.0108,1.05777,0.86508,0.03209,,0.00622,0.01126,0.6
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,1.01803,0.85347,0.0228,1.74355,1.06033,0.04679,,0.00534,0.00826,0.55
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,0.97883,0.83626,0.01978,1.38348,0.95922,0.04607,,0.00571,0.00803,0.525
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,0.97311,0.83413,0.01848,1.31414,0.941,0.04535,,0.00575,0.00793,0.575
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,0.96907,0.83245,0.01762,1.01236,0.87119,0.03073,,0.00599,0.0083,0.5
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,0.96609,0.83122,0.017,1.013,0.87066,0.03139,,0.00622,0.01167,0.55
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.9637,0.83023,0.0165,0.9986,0.86866,0.02413,,0.00533,0.01133,0.525
