Experiment,Seed,Loss,Conf,Alpha,Beta,N,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.06397,0.87705,0.05833,1.54211,1.01185,0.03783,0.08946,0.00215,0.0152,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.06197,0.87616,0.05824,1.52746,1.00953,0.04119,0.08236,0.00209,0.0162,0.575
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,0.93614,0.82074,0.01253,1.70871,1.04013,0.04009,0.08564,0.0026,0.01311,0.525
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.92294,0.81874,0.01949,1.60497,1.01169,0.04021,0.08261,0.00245,0.0153,0.575
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.96675,0.83764,0.03038,1.59405,1.00845,0.04001,0.0843,0.00246,0.0184,0.55
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.9892,0.84435,0.02756,1.50502,0.98852,0.04093,0.07562,0.00237,0.01673,0.575
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,1.00417,0.85052,0.02397,1.47575,0.97775,0.04031,0.07309,0.00229,0.01526,0.575
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.99758,0.84826,0.02468,1.14408,0.88607,0.02257,0.03243,0.00182,0.01152,0.6
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,1.00125,0.84889,0.02072,1.14195,0.8859,0.02131,0.03141,0.00173,0.01083,0.575
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,1.00352,0.84962,0.01915,1.13575,0.88516,0.02182,0.02903,0.00166,0.01029,0.6
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.99936,0.84522,0.01621,1.13497,0.88622,0.02185,0.02748,0.00174,0.00987,0.525
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.88553,0.79625,0.0121,1.82821,1.07745,0.0442,0.0889,0.00286,0.01082,0.5
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.89398,0.80122,0.01108,1.73332,1.04881,0.04437,0.08649,0.00296,0.01112,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.89829,0.80277,0.01065,1.69184,1.03874,0.04469,0.08337,0.00293,0.01128,0.575
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.91168,0.81041,0.01032,1.10611,0.88686,0.02041,0.01675,0.00163,0.00864,0.525
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.91359,0.81024,0.01008,1.5643,1.00526,0.03563,0.0882,0.00283,0.01143,0.525
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.91336,0.80974,0.01001,1.54919,1.00568,0.03672,0.08532,0.00289,0.01173,0.575
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.91261,0.80821,0.00996,1.51114,0.99787,0.03765,0.08088,0.00283,0.01157,0.575
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.91261,0.80724,0.00992,1.06979,0.88236,0.01562,0.01722,0.0016,0.00816,0.55
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.91294,0.80691,0.00991,1.03714,0.88186,0.01549,0.01638,0.00146,0.00777,0.55
2,43,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.02989,0.85785,0.0222,1.95588,1.11882,0.04159,0.09178,0.0028,0.01255,0.525
2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.994,0.84377,0.02041,1.70079,1.03503,0.04148,0.09127,0.00278,0.012,0.55
2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.98104,0.83865,0.01888,1.63805,1.02135,0.04237,0.08709,0.00272,0.01142,0.5
2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.97362,0.83552,0.0179,1.14295,0.89205,0.02735,0.02566,0.00175,0.00891,0.575
2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.97204,0.83577,0.01712,1.12022,0.88661,0.02793,0.02224,0.00159,0.00897,0.5
2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.96675,0.83353,0.01634,1.11073,0.88475,0.0249,0.02459,0.00172,0.00886,0.5
2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.96173,0.82951,0.01613,1.08652,0.88086,0.02353,0.02269,0.00178,0.00808,0.55
2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.96105,0.82941,0.01583,1.06998,0.87816,0.02238,0.0213,0.00175,0.00797,0.525
2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.96011,0.82916,0.01563,1.06026,0.87634,0.02136,0.02068,0.00173,0.00795,0.5
2,43,mse,MSE,1.0,0.0,50,1.06321,0.8755,0.05973,1.90069,1.0452,0.04697,0.07339,0.00212,0.01703,0.6
2,43,mse,MSE,1.0,0.0,100,1.02263,0.85494,0.02508,1.13507,0.88831,0.02201,0.02663,0.00166,0.01119,0.625
2,43,mse,MSE,1.0,0.0,300,0.91484,0.80637,0.0098,1.03827,0.88176,0.01541,0.01637,0.00144,0.00791,0.55
2,43,mse,MSE,1.0,0.0,500,0.95973,0.82912,0.0154,1.05733,0.87618,0.02045,0.02072,0.00172,0.00802,0.525
3,44,hsic,HSIC,0.0,1.0,50,1.36127,0.97462,0.1195,3.3828,1.43339,0.1264,0.19911,0.00377,0.06547,0.725
3,44,hsic,HSIC,0.0,1.0,100,1.32753,0.96215,0.06779,3.52067,1.44804,0.11394,0.19717,0.00469,0.05277,0.625
3,44,hsic,HSIC,0.0,1.0,300,1.265,0.92008,0.02312,3.46013,1.43762,0.11756,0.19695,0.00544,0.05924,0.675
3,44,hsic,HSIC,0.0,1.0,500,1.22269,0.91542,0.01544,3.56402,1.44663,0.11748,0.20078,0.00522,0.06192,0.725
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,50,1.2435,0.9353,0.08724,1.67014,1.03839,0.04062,0.06654,0.00154,0.01557,0.525
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,1.19206,0.91994,0.08033,1.52403,0.99149,0.0441,0.06685,0.00168,0.01546,0.525
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,1.12063,0.89858,0.07419,1.33808,0.93828,0.04095,0.04914,0.00169,0.01502,0.6
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,1.12299,0.89874,0.07812,1.40618,0.96342,0.04676,0.05418,0.00162,0.01499,0.625
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,1.134,0.90192,0.08391,1.38786,0.96039,0.04948,0.05041,0.00159,0.01484,0.575
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,1.15778,0.91028,0.09292,1.38222,0.96061,0.05211,0.04858,0.00161,0.01514,0.6
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,1.18313,0.91887,0.10207,1.38844,0.96255,0.05344,0.04944,0.00167,0.01602,0.575
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,1.19642,0.92364,0.10709,1.40094,0.96712,0.05437,0.05136,0.00174,0.01704,0.575
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,1.20081,0.92519,0.10894,1.42124,0.97609,0.05539,0.0546,0.00181,0.01827,0.525
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,100,1.24671,0.9352,0.0821,1.87796,1.11364,0.05487,0.12328,0.00307,0.02402,0.525
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.98147,0.84383,0.03218,1.82262,1.10113,0.0556,0.12026,0.00379,0.01876,0.6
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.97117,0.83963,0.0298,1.78843,1.0932,0.05618,0.1172,0.00371,0.01804,0.55
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.9757,0.84097,0.03051,1.78344,1.09378,0.05803,0.11678,0.00368,0.01805,0.6
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.97405,0.84062,0.02842,1.75824,1.08791,0.05878,0.11362,0.00365,0.01759,0.6
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.96634,0.83717,0.02483,1.75606,1.08835,0.06019,0.11342,0.00373,0.01732,0.55
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.96107,0.83441,0.02226,1.73421,1.08241,0.06021,0.11086,0.0037,0.01685,0.575
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.95527,0.83165,0.01944,1.72713,1.0811,0.06097,0.11009,0.00375,0.01653,0.6
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,1.08094,0.87757,0.06341,1.68887,1.06946,0.06064,0.10541,0.00274,0.01923,0.65
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,1.04346,0.86438,0.02782,1.7568,1.05558,0.04367,0.07823,0.00216,0.01314,0.525
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.99966,0.84754,0.02471,1.63821,1.01823,0.04556,0.0859,0.00241,0.01161,0.525
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,1.00949,0.85161,0.02645,1.58643,1.00736,0.04189,0.07977,0.00247,0.01213,0.5
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.00431,0.8499,0.02627,1.52478,0.9936,0.04406,0.07316,0.00237,0.01171,0.525
3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.02159,0.85616,0.02607,1.4972,0.98888,0.04612,0.06968,0.00223,0.01223,0.525
3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.01856,0.85532,0.02582,1.4842,0.98739,0.04671,0.06826,0.0022,0.01236,0.6
3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.01219,0.85283,0.02486,1.46963,0.98521,0.04796,0.06605,0.00221,0.01219,0.55
3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.01824,0.85773,0.02711,1.451,0.98214,0.04946,0.0627,0.00221,0.01237,0.525
3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.02793,0.86365,0.03001,1.43652,0.97885,0.05063,0.05984,0.00215,0.01287,0.5
3,44,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.93085,0.81232,0.01222,1.11962,0.8837,0.03379,0.01702,0.00142,0.00737,0.575
3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.9263,0.81759,0.01166,1.65741,1.02081,0.04444,0.08396,0.00244,0.00752,0.65
3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.92729,0.81846,0.0114,1.60816,1.00789,0.04477,0.08447,0.00245,0.0075,0.675
3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.92678,0.81837,0.01117,1.54902,0.99476,0.04447,0.07962,0.00245,0.00735,0.6
