Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,1.06596,0.54919,0.13405,0.31064,0.40507,0.04998,,0.0,0.04561,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,1.02916,0.54601,0.13736,0.28655,0.39526,0.03757,,0.00037,0.04517,0.675
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.92672,0.5307,0.1344,0.26968,0.3894,0.02787,,0.00076,0.0447,0.625
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.0,0.81096,0.51979,0.13453,0.2586,0.38742,0.02189,,0.00102,0.04453,0.625
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.0,0.78966,0.51847,0.13665,0.25369,0.38915,0.0204,,0.00127,0.04474,0.725
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0,0.77539,0.51927,0.13985,0.27593,0.39501,0.02582,,0.00146,0.04612,0.725
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.0,1.11777,0.61189,0.07283,0.57212,0.59787,0.03702,,0.00277,0.03093,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.0,0.98182,0.53503,0.12463,0.6734,0.60009,0.02043,,0.00128,0.02712,0.575
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,0.0,1.04942,0.54169,0.12674,0.63562,0.59873,0.01648,,0.00145,0.02731,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,0.0,1.06596,0.54919,0.13405,0.62789,0.59969,0.01551,,0.00151,0.02736,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,0.0,1.02916,0.54601,0.13736,0.61085,0.60014,0.0138,,0.0016,0.0275,0.625
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,0.0,0.92672,0.5307,0.1344,0.59957,0.60186,0.01325,,0.00164,0.02765,0.675
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,0.0,0.81096,0.51979,0.13453,0.5933,0.60302,0.01343,,0.00161,0.02777,0.65
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,0.0,0.78966,0.51847,0.13665,0.59275,0.6049,0.01474,,0.00156,0.02795,0.65
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,0.0,0.77539,0.51927,0.13985,0.62278,0.61037,0.01345,,0.00134,0.02854,0.675
1,42,mse,MSE,1.0,0.0,50,1.0,3.00516,0.86837,0.38972,3.14505,0.62312,0.20811,,0.00894,0.05342,0.65
1,42,mse,MSE,1.0,0.0,50,0.0,3.00516,0.86837,0.38972,14.98494,1.57659,0.27572,,0.00398,0.06053,0.75
1,42,mse,MSE,1.0,0.0,100,1.0,1.20132,0.70398,0.33969,0.26811,0.39244,0.13848,,0.00911,0.05099,0.7
1,42,mse,MSE,1.0,0.0,100,0.0,1.20132,0.70398,0.33969,0.66117,0.65356,0.09307,,0.00594,0.03816,0.625
1,42,mse,MSE,1.0,0.0,300,1.0,1.47478,0.62935,0.25787,0.38448,0.42891,0.03562,,0.00231,0.05179,0.725
1,42,mse,MSE,1.0,0.0,300,0.0,1.47478,0.62935,0.25787,0.76834,0.67114,0.02103,,0.00217,0.03582,0.6
1,42,mse,MSE,1.0,0.0,500,1.0,0.77233,0.52272,0.1454,0.28845,0.4351,0.32389,,0.02323,0.06125,0.7
1,42,mse,MSE,1.0,0.0,500,0.0,0.77233,0.52272,0.1454,0.78981,0.69757,0.24374,,0.0134,0.04283,0.625
2,43,hsic,HSIC,0.0,1.0,50,1.0,4.64681,1.38035,0.3226,0.71391,0.59129,0.16978,,0.01036,0.16276,0.825
2,43,hsic,HSIC,0.0,1.0,50,0.0,4.64681,1.38035,0.3226,1.07838,0.76428,0.09836,,0.00135,0.1248,0.825
2,43,hsic,HSIC,0.0,1.0,100,1.0,3.85484,1.31847,0.37237,5.0311,2.16858,0.09982,,0.00646,0.22238,0.875
2,43,hsic,HSIC,0.0,1.0,100,0.0,3.85484,1.31847,0.37237,3.26144,1.63779,0.04021,,0.00179,0.19603,0.825
2,43,hsic,HSIC,0.0,1.0,300,1.0,4.5144,1.37319,0.08134,0.59713,0.59721,0.11036,,0.00694,0.27131,0.875
2,43,hsic,HSIC,0.0,1.0,300,0.0,4.5144,1.37319,0.08134,0.87031,0.74898,0.05948,,0.0042,0.24289,0.85
2,43,hsic,HSIC,0.0,1.0,500,1.0,2.22687,0.84011,0.06105,2.02199,1.13017,0.20665,,0.00597,0.2393,0.85
2,43,hsic,HSIC,0.0,1.0,500,0.0,2.22687,0.84011,0.06105,2.36243,1.24576,0.20708,,0.00266,0.20516,0.825
