Experiment,Seed,Loss,Conf,Alpha,Beta,N,Y_do,MSE Y,MAE Y,"HSIC(Y,X)",MSE Z,MAE Z,"HSIC(Z,X)","HSIC(Z,Y)",dHSIC Total,MMD,RF Acc
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,1.0,0.51963,0.59004,0.1686,0.29774,0.48246,0.01975,,0.00326,0.01357,0.5
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,1.0,0.51319,0.59142,0.16755,0.29065,0.47605,0.01499,,0.00303,0.01322,0.55
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,1.0,0.52171,0.55558,0.11153,0.29016,0.47397,0.00985,,0.00201,0.01203,0.5
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,1.0,0.52297,0.55523,0.11158,0.28957,0.47369,0.01064,,0.00216,0.01229,0.55
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,1.0,0.50725,0.54617,0.10992,0.28904,0.47271,0.00997,,0.00217,0.01209,0.525
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,1.0,0.50723,0.544,0.11017,0.28839,0.47084,0.00975,,0.00222,0.01207,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,300,0.0,0.60306,0.58721,0.17304,1.15903,0.93174,0.05085,,0.00715,0.03083,0.55
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,300,0.0,0.55748,0.58638,0.16913,1.08192,0.9062,0.04877,,0.00691,0.03289,0.65
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,300,0.0,0.53121,0.59037,0.16784,1.0269,0.88953,0.03163,,0.00525,0.03065,0.65
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,300,0.0,0.51963,0.59004,0.1686,0.99237,0.87563,0.02713,,0.005,0.03073,0.65
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,300,0.0,0.51319,0.59142,0.16755,0.97207,0.8638,0.02184,,0.00465,0.02965,0.6
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,300,0.0,0.52171,0.55558,0.11153,0.99694,0.87875,0.01352,,0.00331,0.03008,0.5
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,300,0.0,0.52297,0.55523,0.11158,0.99348,0.877,0.01389,,0.00341,0.02983,0.5
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,300,0.0,0.50725,0.54617,0.10992,0.99207,0.87617,0.01405,,0.00345,0.02953,0.575
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,300,0.0,0.50723,0.544,0.11017,0.9936,0.87631,0.0142,,0.00349,0.02977,0.55
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,1.0,0.42387,0.49927,0.11067,0.44878,0.56103,0.11229,,0.01033,0.03052,0.575
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,1.0,0.43022,0.50268,0.11163,0.34032,0.50979,0.05168,,0.00623,0.01903,0.55
1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,500,1.0,0.43182,0.51013,0.11352,0.32406,0.4973,0.02552,,0.00407,0.01552,0.575
1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,500,1.0,0.43123,0.50451,0.11118,0.38673,0.52589,0.03452,,0.00558,0.02241,0.625
1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,500,1.0,0.42524,0.50392,0.1113,0.3558,0.50821,0.035,,0.00574,0.01763,0.575
1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,500,1.0,0.42349,0.50497,0.11225,0.32912,0.49191,0.03517,,0.00597,0.01398,0.525
1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,500,1.0,0.43052,0.51194,0.11537,0.31563,0.48492,0.03738,,0.00597,0.01369,0.575
1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,500,1.0,0.43135,0.50992,0.1143,0.31702,0.48453,0.03774,,0.00644,0.01324,0.5
1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,500,1.0,0.4354,0.51264,0.11417,0.3145,0.48064,0.03931,,0.00662,0.01337,0.6
1,42,hybrid,HYBRID_ALPHA0.1_BETA0.9,0.1,0.9,500,0.0,0.42387,0.49927,0.11067,1.09332,0.87252,0.02587,,0.00513,0.01872,0.625
1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,500,0.0,0.43022,0.50268,0.11163,1.04811,0.89851,0.04054,,0.0062,0.0288,0.625
