Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,RF Acc,MMD,MAE x3
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.55,0.00814,0.82722
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.525,0.01231,0.87015
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.775,0.01354,0.83016
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,50,0.575,0.01589,1.00053
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.675,0.01483,0.82757
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.725,0.02101,0.85149
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.55,0.01075,0.84399
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.65,0.01856,0.82726
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.55,0.01281,0.83989
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.725,0.03061,0.84157
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.55,0.00796,0.82653
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.575,0.01352,0.87018
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.675,0.01295,0.82995
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,50,0.65,0.01732,0.98477
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.675,0.01518,0.82893
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.65,0.02162,0.85141
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.55,0.01064,0.84396
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.625,0.01827,0.8282
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.525,0.01476,0.83993
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.775,0.03527,0.8829
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.55,0.00795,0.82773
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.55,0.01289,0.8702
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.675,0.013,0.82985
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,50,0.55,0.01223,0.82943
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.7,0.01668,0.83117
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.625,0.02076,0.85145
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.55,0.01053,0.84396
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.65,0.01985,0.82939
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.75,0.01344,0.83516
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.8,0.0281,0.85539
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.575,0.00805,0.82757
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.675,0.01345,0.87017
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.625,0.0122,0.83018
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,50,0.55,0.01246,0.82827
3-chain-linear,1,42,mse,MSE,1.0,0.0,100,0.55,0.0166,0.8425
3-chain-linear,2,43,mse,MSE,1.0,0.0,100,0.575,0.01509,0.83758
3-chain-linear,3,44,mse,MSE,1.0,0.0,100,0.575,0.01047,0.84028
3-chain-linear,4,45,mse,MSE,1.0,0.0,100,0.525,0.01424,0.83824
3-chain-linear,5,46,mse,MSE,1.0,0.0,100,0.525,0.01244,0.82739
3-chain-linear,6,47,mse,MSE,1.0,0.0,100,0.625,0.00911,0.84295
3-chain-linear,7,48,mse,MSE,1.0,0.0,100,0.55,0.01166,0.83718
3-chain-linear,8,49,mse,MSE,1.0,0.0,100,0.625,0.01279,0.82943
3-chain-linear,9,50,mse,MSE,1.0,0.0,100,0.6,0.0097,0.83628
3-chain-linear,10,51,mse,MSE,1.0,0.0,100,0.55,0.01269,0.8373
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.01561,0.84069
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.01323,0.83749
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.5,0.00959,0.84027
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.01244,0.83824
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.55,0.0117,0.8271
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.6,0.00884,0.84294
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.65,0.01027,0.83559
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.625,0.01194,0.8241
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.55,0.00867,0.82828
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.01228,0.83735
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.01724,0.85364
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.01305,0.83735
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.01033,0.83138
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.6,0.0123,0.83826
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.525,0.01142,0.82735
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.65,0.00873,0.84291
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.6,0.01026,0.8344
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.65,0.01195,0.81878
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.5,0.00839,0.82666
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.5,0.01229,0.83598
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.55,0.01853,0.89494
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.6,0.01282,0.83709
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.525,0.00997,0.83047
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.55,0.01222,0.83825
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.55,0.01156,0.82661
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.6,0.00855,0.84292
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.575,0.01006,0.83461
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.625,0.01189,0.82241
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.5,0.00843,0.82412
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.5,0.01171,0.83478
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.6,0.01841,0.8938
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.55,0.01248,0.83726
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.525,0.00992,0.83007
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.55,0.01222,0.83812
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.55,0.01146,0.82538
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.525,0.00854,0.84291
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.5,0.00999,0.83071
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.625,0.01189,0.82451
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.525,0.00832,0.82569
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.525,0.01161,0.8376
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.575,0.01828,0.90162
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.7,0.01169,0.83688
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.525,0.00996,0.82983
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.55,0.01201,0.83805
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.5,0.01138,0.8267
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.65,0.00816,0.84292
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.6,0.00928,0.82894
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.6,0.01204,0.83199
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.55,0.00818,0.82423
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.525,0.011,0.8281
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.575,0.01729,0.85691
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.625,0.0113,0.83819
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.00998,0.82885
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.525,0.012,0.83797
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.575,0.01069,0.82625
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.55,0.0086,0.84288
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.625,0.00949,0.82525
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.65,0.01178,0.83224
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.55,0.00828,0.82276
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.525,0.01115,0.82872
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.575,0.01651,0.85065
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.65,0.01252,0.83817
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.525,0.01011,0.82849
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.575,0.01132,0.83795
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.625,0.01053,0.82695
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.6,0.00845,0.84283
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.675,0.00963,0.82615
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.725,0.01172,0.83181
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.625,0.00813,0.82101
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.575,0.01113,0.82942
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.575,0.01594,0.84996
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.01222,0.83913
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.575,0.01051,0.82832
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.65,0.01269,0.83796
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.6,0.0102,0.82686
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.00841,0.82974
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.725,0.01061,0.82474
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.01245,0.83097
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.525,0.00809,0.82018
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.55,0.01048,0.82761
3-chain-non-linear,1,42,mse,MSE,1.0,0.0,50,0.725,0.01689,0.17109
3-chain-non-linear,2,43,mse,MSE,1.0,0.0,50,0.575,0.0216,0.17545
3-chain-non-linear,3,44,mse,MSE,1.0,0.0,50,0.775,0.01237,0.22442
3-chain-non-linear,4,45,mse,MSE,1.0,0.0,50,0.75,0.04343,0.36173
3-chain-non-linear,5,46,mse,MSE,1.0,0.0,50,0.65,0.02671,0.35772
3-chain-non-linear,6,47,mse,MSE,1.0,0.0,50,0.6,0.02313,0.20007
3-chain-non-linear,7,48,mse,MSE,1.0,0.0,50,0.7,0.00795,0.30176
3-chain-non-linear,8,49,mse,MSE,1.0,0.0,50,0.75,0.02658,0.78284
3-chain-non-linear,9,50,mse,MSE,1.0,0.0,50,0.675,0.01589,0.26336
3-chain-non-linear,10,51,mse,MSE,1.0,0.0,50,0.7,0.02044,0.19463
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.7,0.01659,0.15572
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.7,0.02235,0.19794
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.01194,0.24035
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.75,0.04359,0.34212
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.01794,0.27251
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.03415,0.19111
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.625,0.01469,0.27941
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.775,0.02764,0.68346
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.01507,0.26042
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.019,0.17187
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.675,0.01689,0.16313
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.02118,0.19777
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.02438,0.24695
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.04427,0.34298
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.55,0.0179,0.26683
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.65,0.03626,0.19362
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.01459,0.24618
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.725,0.03035,0.61402
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.675,0.0152,0.2748
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.65,0.01878,0.1635
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.65,0.01944,0.22464
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.725,0.01999,0.18191
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.75,0.02325,0.21463
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.8,0.03499,0.26662
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.6,0.01852,0.24815
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.75,0.04146,0.22473
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.7,0.01581,0.24917
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.75,0.03006,1.04211
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.7,0.01493,0.25969
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,50,0.8,0.01885,0.16568
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.75,0.0169,0.14131
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.65,0.01947,0.22711
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.7,0.01998,0.23212
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.85,0.03313,0.52763
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.625,0.01848,0.29639
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.7,0.04273,0.32774
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.725,0.01648,0.26756
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,50,0.725,0.02976,1.04945
