Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
collider-linear,100,0.1,0.9,hybrid,10,0.63,0.04684,0.03559,0.00544,0.44548,0.09848
collider-linear,100,0.2,0.8,hybrid,10,0.6375,0.07193,0.03482,0.00477,0.43586,0.10394
collider-linear,100,0.3,0.7,hybrid,10,0.62,0.06749,0.03378,0.00467,0.42693,0.11606
collider-linear,100,0.4,0.6,hybrid,10,0.645,0.06749,0.03359,0.00459,0.43792,0.12168
collider-linear,100,0.5,0.5,hybrid,10,0.6275,0.05945,0.03289,0.00499,0.42451,0.10141
collider-linear,100,0.6,0.4,hybrid,10,0.625,0.05,0.0337,0.00513,0.42716,0.10361
collider-linear,100,0.7,0.3,hybrid,10,0.6425,0.04417,0.03339,0.00531,0.42604,0.09867
collider-linear,100,0.8,0.2,hybrid,10,0.6475,0.04158,0.03349,0.00567,0.41758,0.10493
fork-linear,50,0.0,1.0,mse,10,0.5925,0.07076,0.03608,0.00747,0.41358,0.24759
fork-linear,50,0.1,0.9,hybrid,10,0.6,0.08975,0.03366,0.00785,0.38329,0.22907
fork-linear,50,0.2,0.8,hybrid,10,0.6125,0.04895,0.03419,0.00777,0.33012,0.11194
fork-linear,50,0.3,0.7,hybrid,10,0.6175,0.05898,0.03286,0.00816,0.32451,0.11057
fork-linear,50,0.4,0.6,hybrid,10,0.65,0.07638,0.03448,0.00748,0.37362,0.16757
fork-linear,50,0.5,0.5,hybrid,10,0.6525,0.06713,0.03298,0.00714,0.37256,0.18096
fork-linear,50,0.6,0.4,hybrid,10,0.6375,0.06997,0.03335,0.00856,0.34064,0.10277
fork-linear,50,0.7,0.3,hybrid,10,0.6225,0.05945,0.03459,0.0119,0.3705,0.1215
fork-linear,50,0.8,0.2,hybrid,10,0.6325,0.08084,0.03262,0.01121,0.38329,0.15675
fork-linear,100,0.0,1.0,mse,10,0.585,0.09068,0.02965,0.00676,0.24433,0.04711
fork-linear,100,0.1,0.9,hybrid,10,0.6025,0.08203,0.02982,0.00708,0.25628,0.03395
fork-linear,100,0.2,0.8,hybrid,10,0.58,0.04684,0.02955,0.00618,0.26651,0.03849
fork-linear,100,0.3,0.7,hybrid,10,0.575,0.05,0.02909,0.00697,0.27016,0.04609
fork-linear,100,0.4,0.6,hybrid,10,0.5575,0.06877,0.02738,0.00746,0.27442,0.04971
fork-linear,100,0.5,0.5,hybrid,10,0.595,0.06952,0.02752,0.00803,0.27026,0.04971
fork-linear,100,0.6,0.4,hybrid,10,0.585,0.04282,0.02712,0.00638,0.27082,0.03774
fork-linear,100,0.7,0.3,hybrid,10,0.5825,0.0646,0.02645,0.00641,0.27145,0.04229
fork-linear,100,0.8,0.2,hybrid,10,0.5875,0.03773,0.02792,0.00732,0.27654,0.06266
fork-non-linear,50,0.0,1.0,mse,10,0.625,0.06972,0.03276,0.00933,0.57935,0.38031
fork-non-linear,50,0.1,0.9,hybrid,10,0.635,0.05798,0.03222,0.0087,0.63695,0.41605
fork-non-linear,50,0.2,0.8,hybrid,10,0.64,0.07379,0.0309,0.00789,0.66744,0.32321
fork-non-linear,50,0.3,0.7,hybrid,10,0.62,0.0654,0.03044,0.0088,0.65654,0.23017
fork-non-linear,50,0.4,0.6,hybrid,10,0.6475,0.05707,0.02837,0.00756,0.65691,0.27976
fork-non-linear,50,0.5,0.5,hybrid,10,0.6575,0.06129,0.0332,0.01998,0.65599,0.29628
fork-non-linear,50,0.6,0.4,hybrid,10,0.655,0.07528,0.02925,0.00787,0.57742,0.19182
fork-non-linear,50,0.7,0.3,hybrid,10,0.6725,0.05197,0.02709,0.00763,0.7363,0.37684
fork-non-linear,50,0.8,0.2,hybrid,10,0.67,0.06952,0.02725,0.00743,0.86836,0.68926
fork-non-linear,100,0.0,1.0,mse,10,0.6225,0.08032,0.02747,0.00856,0.47069,0.16346
fork-non-linear,100,0.1,0.9,hybrid,10,0.625,0.06562,0.02722,0.00867,0.47634,0.16037
fork-non-linear,100,0.2,0.8,hybrid,10,0.62,0.08724,0.02684,0.00839,0.47169,0.17255
fork-non-linear,100,0.3,0.7,hybrid,10,0.6275,0.07945,0.02714,0.00775,0.47786,0.17373
fork-non-linear,100,0.4,0.6,hybrid,10,0.6475,0.08371,0.02654,0.00754,0.53721,0.15206
fork-non-linear,100,0.5,0.5,hybrid,10,0.6375,0.08101,0.03035,0.02167,0.53216,0.14112
fork-non-linear,100,0.6,0.4,hybrid,10,0.64,0.05798,0.03064,0.02512,0.56759,0.15755
fork-non-linear,100,0.7,0.3,hybrid,10,0.63,0.05986,0.02412,0.00783,0.54609,0.16349
fork-non-linear,100,0.8,0.2,hybrid,10,0.6875,0.04125,0.02433,0.00885,0.56073,0.18445
simpson-non-linear,50,0.0,1.0,mse,10,0.665,0.05297,0.04886,0.00767,0.57249,0.1665
simpson-non-linear,50,0.1,0.9,hybrid,10,0.63,0.06101,0.04773,0.00655,0.56224,0.17111
simpson-non-linear,50,0.2,0.8,hybrid,10,0.62,0.03496,0.04733,0.00841,0.57963,0.17285
simpson-non-linear,50,0.3,0.7,hybrid,10,0.615,0.05297,0.04551,0.00671,0.59905,0.20899
