Dataset,Experiment,Seed,Loss,Conf,Alpha,Beta,N,RF Acc,MMD,MAE x3
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.55,0.01323,0.8374
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.00958,0.84015
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.5,0.01244,0.83796
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.5,0.01169,0.82603
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.575,0.00871,0.84282
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.6,0.01001,0.83582
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.675,0.01169,0.82524
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.6,0.00874,0.82834
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,100,0.525,0.01242,0.83769
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.625,0.01901,0.88641
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.525,0.01301,0.83726
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.625,0.0099,0.83111
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.575,0.01229,0.83798
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.01142,0.82607
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.625,0.00863,0.84278
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.6,0.00996,0.83445
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.625,0.01206,0.82082
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.00851,0.82597
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,100,0.55,0.01227,0.83645
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.625,0.01902,0.89219
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.575,0.01282,0.83709
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.55,0.00994,0.83067
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.55,0.01194,0.83798
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.5,0.01113,0.8262
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.625,0.00859,0.84278
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.625,0.00996,0.83397
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.6,0.01192,0.82337
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.525,0.00855,0.82385
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.7_BETA0.3,0.7,0.3,100,0.5,0.01178,0.83518
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.575,0.01795,0.8906
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.55,0.01239,0.83645
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.575,0.00989,0.83036
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.5,0.01189,0.83784
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.5,0.01134,0.82551
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.575,0.00842,0.84278
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.5,0.0099,0.83066
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.575,0.01181,0.82447
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.525,0.00843,0.82547
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.6_BETA0.4,0.6,0.4,100,0.575,0.01154,0.83831
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.575,0.01789,0.90161
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.625,0.01273,0.83831
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.55,0.00953,0.8295
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.5,0.01192,0.8378
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.5,0.01128,0.82707
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.55,0.00842,0.84281
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.65,0.00949,0.8255
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.625,0.0121,0.83179
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.5,0.00839,0.82262
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.5_BETA0.5,0.5,0.5,100,0.575,0.01069,0.82815
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.65,0.01688,0.89446
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.0113,0.83735
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.00975,0.82877
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.525,0.01198,0.83774
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.01057,0.82622
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.00852,0.84277
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.65,0.00945,0.8262
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.625,0.01232,0.83221
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.65,0.00821,0.8227
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.4_BETA0.6,0.4,0.6,100,0.6,0.0108,0.8289
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.6,0.01661,0.85042
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.675,0.01234,0.83799
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.5,0.01009,0.82854
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.525,0.01216,0.83774
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.575,0.0104,0.82697
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.625,0.00832,0.84272
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.625,0.00961,0.82613
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.65,0.01207,0.83165
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.55,0.00795,0.821
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.3_BETA0.7,0.3,0.7,100,0.55,0.01047,0.82953
3-chain-linear,1,42,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.55,0.0157,0.84978
3-chain-linear,2,43,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.675,0.01226,0.83889
3-chain-linear,3,44,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.575,0.0095,0.82834
3-chain-linear,4,45,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.65,0.01335,0.83784
3-chain-linear,5,46,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.01013,0.8269
3-chain-linear,6,47,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.00831,0.82858
3-chain-linear,7,48,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.65,0.01033,0.82466
3-chain-linear,8,49,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.625,0.01315,0.83085
3-chain-linear,9,50,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.5,0.00801,0.82018
3-chain-linear,10,51,hybrid,HYBRID_ALPHA0.2_BETA0.8,0.2,0.8,100,0.6,0.01038,0.82764
3-chain-non-linear,1,42,mse,MSE,1.0,0.0,50,0.55,0.01627,0.26896
3-chain-non-linear,2,43,mse,MSE,1.0,0.0,50,0.55,0.02763,0.26683
3-chain-non-linear,3,44,mse,MSE,1.0,0.0,50,0.55,0.00783,0.34194
3-chain-non-linear,4,45,mse,MSE,1.0,0.0,50,0.675,0.01805,0.24616
3-chain-non-linear,5,46,mse,MSE,1.0,0.0,50,0.55,0.02734,0.2622
3-chain-non-linear,6,47,mse,MSE,1.0,0.0,50,0.65,0.03226,0.31423
3-chain-non-linear,7,48,mse,MSE,1.0,0.0,50,0.55,0.00731,0.23402
3-chain-non-linear,8,49,mse,MSE,1.0,0.0,50,0.5,0.02023,0.30409
3-chain-non-linear,9,50,mse,MSE,1.0,0.0,50,0.625,0.01277,0.28175
3-chain-non-linear,10,51,mse,MSE,1.0,0.0,50,0.525,0.01436,0.22369
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.675,0.01686,0.24736
3-chain-non-linear,2,43,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.02312,0.26817
3-chain-non-linear,3,44,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.525,0.00775,0.22866
3-chain-non-linear,4,45,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.02422,0.28852
3-chain-non-linear,5,46,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.55,0.02237,0.24487
3-chain-non-linear,6,47,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.6,0.01033,0.29805
3-chain-non-linear,7,48,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.575,0.00732,0.22156
3-chain-non-linear,8,49,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.5,0.01645,0.29594
3-chain-non-linear,9,50,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.65,0.01216,0.29257
3-chain-non-linear,10,51,hybrid,HYBRID_ALPHA0.9_BETA0.1,0.9,0.1,50,0.625,0.0127,0.21697
3-chain-non-linear,1,42,hybrid,HYBRID_ALPHA0.8_BETA0.2,0.8,0.2,50,0.6,0.01804,0.24035
