Dataset,N,Beta,Alpha,Loss,Num_Seeds,RF Acc_mean,RF Acc_std,MMD_mean,MMD_std,MAE x3_mean,MAE x3_std
fork-linear,100,0.0,1.0,mse,10,0.6725,0.07212,0.05112,0.02003,0.2432,0.05038
fork-linear,100,0.1,0.9,hybrid,10,0.66,0.07379,0.05226,0.02075,0.26007,0.04887
fork-linear,100,0.2,0.8,hybrid,10,0.6675,0.06242,0.05181,0.0165,0.27242,0.05303
fork-linear,100,0.3,0.7,hybrid,10,0.6725,0.06917,0.05214,0.01627,0.27022,0.05345
fork-linear,100,0.4,0.6,hybrid,10,0.6825,0.07997,0.04839,0.01729,0.27088,0.05556
fork-linear,100,0.5,0.5,hybrid,10,0.6975,0.06713,0.0493,0.01949,0.26959,0.05417
fork-linear,100,0.6,0.4,hybrid,10,0.6725,0.09087,0.04819,0.01746,0.2677,0.03809
fork-linear,100,0.7,0.3,hybrid,10,0.6825,0.07076,0.04788,0.01779,0.28378,0.05198
fork-linear,100,0.8,0.2,hybrid,10,0.7,0.07906,0.04972,0.01855,0.27624,0.06149
fork-non-linear,50,0.0,1.0,mse,10,0.87,0.07619,0.13732,0.04119,0.56054,0.37218
fork-non-linear,50,0.1,0.9,hybrid,10,0.8325,0.06775,0.12785,0.04448,0.60869,0.46889
fork-non-linear,50,0.2,0.8,hybrid,10,0.845,0.07528,0.12181,0.05366,0.60439,0.35062
fork-non-linear,50,0.3,0.7,hybrid,10,0.865,0.06892,0.13418,0.05425,0.61265,0.28824
fork-non-linear,50,0.4,0.6,hybrid,10,0.8575,0.08254,0.13023,0.0535,0.57977,0.35111
fork-non-linear,50,0.5,0.5,hybrid,10,0.875,0.06009,0.14992,0.06404,0.63593,0.38639
fork-non-linear,50,0.6,0.4,hybrid,10,0.865,0.09589,0.1358,0.06291,0.54339,0.24582
fork-non-linear,50,0.7,0.3,hybrid,10,0.875,0.09129,0.14459,0.07203,0.63329,0.41109
fork-non-linear,50,0.8,0.2,hybrid,10,0.915,0.05164,0.15981,0.06961,0.83496,0.73448
fork-non-linear,100,0.0,1.0,mse,10,0.87,0.08803,0.13511,0.05661,0.47077,0.15366
